"issue.date","song","artist","year"
"May 22","""Mother-in-Law""","Ernie K-Doe",1961
"May 29","""Travelin' Man""","Ricky Nelson",1961
"June 5","""Running Scared""","Roy Orbison",1961
"June 12","""Travelin' Man""","Ricky Nelson",1961
"June 19","""Moody River""","Pat Boone",1961
"June 26","""Quarter to Three""","U.S. Bonds",1961
"July 3","""Quarter to Three""","U.S. Bonds",1961
"July 10","""Tossin' and Turnin'""","Bobby Lewis",1961
"July 17","""Tossin' and Turnin'""","Bobby Lewis",1961
"July 24","""Tossin' and Turnin'""","Bobby Lewis",1961
"July 31","""Tossin' and Turnin'""","Bobby Lewis",1961
"August 7","""Tossin' and Turnin'""","Bobby Lewis",1961
"August 14","""Tossin' and Turnin'""","Bobby Lewis",1961
"August 21","""Tossin' and Turnin'""","Bobby Lewis",1961
"August 28","""Wooden Heart""","Joe Dowell",1961
"September 4","""Michael""","The Highwaymen",1961
"September 11","""Michael""","The Highwaymen",1961
"September 18","""Take Good Care of My Baby""","Bobby Vee",1961
"September 25","""Take Good Care of My Baby""","Bobby Vee",1961
"October 2","""Take Good Care of My Baby""","Bobby Vee",1961
"October 9","""Hit the Road Jack""","Ray Charles",1961
"October 16","""Hit the Road Jack""","Ray Charles",1961
"October 23","""Runaround Sue""","Dion",1961
"October 30","""Runaround Sue""","Dion",1961
"November 6","""Big Bad John""","Jimmy Dean",1961
"November 13","""Big Bad John""","Jimmy Dean",1961
"November 20","""Big Bad John""","Jimmy Dean",1961
"November 27","""Big Bad John""","Jimmy Dean",1961
"December 4","""Big Bad John""","Jimmy Dean",1961
"December 11","""Please Mr. Postman""","The Marvelettes",1961
"December 18","""The Lion Sleeps Tonight""","The Tokens",1961
"December 25","""The Lion Sleeps Tonight""","The Tokens",1961
"January 6","""The Lion Sleeps Tonight""","The Tokens",1962
"January 13","""The Twist""","Chubby Checker",1962
"January 20","""The Twist""","Chubby Checker",1962
"January 27","""Peppermint Twist""","Joey Dee and the Starliters",1962
"February 3","""Peppermint Twist""","Joey Dee and the Starliters",1962
"February 10","""Peppermint Twist""","Joey Dee and the Starliters",1962
"February 17","""Duke of Earl""","Gene Chandler",1962
"February 24","""Duke of Earl""","Gene Chandler",1962
"March 3","""Duke of Earl""","Gene Chandler",1962
"March 10","""Hey! Baby""","Bruce Channel",1962
"March 17","""Hey! Baby""","Bruce Channel",1962
"March 24","""Hey! Baby""","Bruce Channel",1962
"March 31","""Don't Break the Heart That Loves You""","Connie Francis",1962
"April 7","""Johnny Angel""","Shelley Fabares",1962
"April 14","""Johnny Angel""","Shelley Fabares",1962
